|Material|Texto breve                             | Item|Doc.compra|Preço líq.|
|122031  |RETEN 55MM 70MM 7MM NBR                 | 2450|4600176606|     7,09 |
|623780  |RETEN 80MM 100MM 10MM NBR               | 2460|4600176606|     9,21 |
|146056  |RETEN 20MM 42MM 10MM NBR                | 2500|4600176606|     3,68 |
|47155   |RETEN 35MM 50MM 10MM NBR                | 2520|4600176606|     5,27 |
|902663  |RETEN 40MM 62MM 11,5MM NBR              | 2530|4600176606|     4,74 |
|1626    |RETEN 36MM 54MM 7MM NBR                 | 2570|4600176606|     6,19 |
|902889  |RETEN 30MM 55MM 12MM NBR                | 2600|4600176606|     4,19 |
|131717  |ANEL RETENCAO EIXO 50MM DIN-471         | 2620|4600176606|     0,86 |
|120120  |RETEN 130MM 160MM 12MM NBR              | 2650|4600176606|    29,07 |
|740586  |RETEN 95MM 130MM 13MM NBR               | 2670|4600176606|    14,46 |
|204029  |RETEN 130MM 160MM 15MM NBR              | 2680|4600176606|    28,99 |
|30296   |RETEN 30MM 50,10MM 12MM NBR             | 2690|4600176606|     6,82 |
|18609   |RETEN 49,2MM 69,9MM 9,5MM NBR           | 2720|4600176606|     6,18 |
|700584  |RETEN 120MM 160MM 12MM NBR              | 2730|4600176606|    24,34 |
|11594   |RETEN 28MM 42MM 7MM NBR                 | 2750|4600176606|     4,33 |
|923461  |RETENTOR 65MM 120MM 12MM NBR            | 2810|4600176606|    15,79 |
|108774  |RETEN 22MM 32MM 7MM NBR                 | 2820|4600176606|     3,94 |
|914343  |RETEN 45MM 68MM 10MM NBR                | 2830|4600176606|     7,37 |
|141801  |RETEN 55MM 70MM 8MM NBR                 | 2850|4600176606|     7,11 |
|552259  |RETEN 65,8MM 88,4MM 12,7MM NBR          | 2880|4600176606|    10,35 |
|531545  |RETENTOR 90MM 110MM 13MM NBR            | 2910|4600176606|    10,50 |
|2485    |RETEN 50,8MM 76,30MM 12,7MM NBR         | 2960|4600176606|     7,88 |
|835790  |RETEN 061105001 VEMAG                   | 2970|4600176606|     6,71 |
|227702  |RETEN 40MM 62MM 6MM NBR                 | 3010|4600176606|     5,04 |
|45791   |RETEN 12MM 24MM 7MM NBR                 | 3020|4600176606|     4,47 |
|49222   |RETEN 12MM 22MM 5MM NBR                 | 3030|4600176606|     3,94 |
|821133  |PAPELAO HIDRAULICO 2MM FL 1500MM 1600MM | 3060|4600176606|   212,80 |
|240725  |ROLAMENTO RIGIDO ESFERAS 6319-2RS-C3    | 3070|4600176606|   608,21 |
|245575  |ROLAMENTO RIGIDO ESFERAS 20-2RS         | 3080|4600176606|   286,08 |
|149481  |BUCHA ACOPLAMENTO TETEFLEX D91011       | 3100|4600176606|     5,06 |
|327498  |ROL AUTOCOMPENSADOR ESFERAS 1307-CC-K   | 3110|4600176606|    68,39 |
|41370   |CORREIA DE491 HIGH TECH                 | 3120|4600176606| 1.327,90 |
|12596   |MANGUEIRA 4440200 KARCHER               | 3150|4600176606|    15,85 |
|22063   |ROLAMENTO RIGIDO ESFERAS 61812-2RS      | 3160|4600176606|   182,60 |
|874367  |MANCAL MONOB INOX SFL-205               | 3170|4600176606|   122,76 |
|626231  |CONTRA RECUO 25MM TTSS25 TEC TOR        | 3180|4600176606|   281,27 |
|171434  |ROLAMENTO RIGIDO ESFERAS 6216-ZZ-C3     | 3190|4600176606|   124,95 |
|37438   |RETEN 25MM 47MM 7MM NBR                 | 3200|4600176606|     5,30 |
|1650    |RETEN 17MM 28MM 7MM NBR                 | 3210|4600176606|     2,91 |
|494941  |ROL ESF CONT ANG 5211                   | 3240|4600176606|   188,90 |
|219747  |ROLAMENTO LINEAR ESFERAS LMEF-40-UU     | 3250|4600176606|   634,95 |
|148424  |ROLAMENTO RIGIDO ESFERAS 6311-2RS-C3-GJN| 3260|4600176606|    88,17 |
|148432  |ROLAMENTO RIGIDO ESFERAS 6211-2RS-C3-GJN| 3270|4600176606|    37,76 |
|438889  |PERFIL LSO RED 7,00MM 70 SH             | 3310|4600176606|     4,30 |
|855042  |RETEN 72MM 140MM 12MM NBR               | 3320|4600176606|    42,24 |
|921028  |PAPELAO HIDRAULICO 1/8" UN 1500MM 1600MM| 3330|4600176606|   646,35 |
|276123  |ROL ROLOS CILINDRICOS NU-206-ECJ-C3     | 3340|4600176606|   106,00 |
|408271  |ROLAMENTO RIGIDO ESFERAS 61805-2RS      | 3350|4600176606|    21,90 |
